zeit,durchlauf,seed,score,zuege_pro_s,run_id,config
17:58:03,1,11,65.65,10879.3,dqn-20260724-174802,"{""perception"": ""rich_grid7""}"
18:08:05,1,11,64.3,10991.6,dqn-20260724-175804,"{""perception"": ""rich_grid7"", ""reward_step"": 0.0}"
18:18:07,1,11,66.45,9260.7,dqn-20260724-180806,"{""perception"": ""rich_grid7"", ""prioritized"": true}"
18:28:09,1,11,66.0,10843.1,dqn-20260724-181808,"{""perception"": ""rich_grid7"", ""reward_death"": -20.0}"
18:38:10,1,11,67.3,12805.0,dqn-20260724-182810,"{""perception"": ""rich""}"
18:48:12,1,11,66.55,11618.1,dqn-20260724-183811,"{""perception"": ""rich_grid5""}"
18:58:14,1,11,67.75,9968.8,dqn-20260724-184813,"{""perception"": ""rich_grid9""}"
19:08:17,1,11,65.2,6090.9,dqn-20260724-185815,"{""perception"": ""rich_grid9"", ""num_games"": 8}"
19:18:19,1,11,65.2,12554.8,dqn-20260724-190817,"{""perception"": ""rich_grid9"", ""num_games"": 24}"
19:28:21,1,11,65.35,14335.5,dqn-20260724-191820,"{""perception"": ""rich_grid9"", ""train_every"": 2}"
19:38:23,1,11,65.15,9872.9,dqn-20260724-192822,"{""perception"": ""rich_grid9"", ""learning_rate"": 0.0005}"
19:48:25,1,11,64.4,9939.7,dqn-20260724-193824,"{""perception"": ""rich_grid9"", ""learning_rate"": 0.002}"
19:58:27,1,11,66.3,9881.9,dqn-20260724-194826,"{""perception"": ""rich_grid9"", ""pfad_fokus_bonus"": 0.02}"
20:08:28,1,11,68.55,10028.8,dqn-20260724-195828,"{""perception"": ""rich_grid9"", ""pfad_fokus_bonus"": 0.1}"
20:18:30,1,11,64.8,9960.9,dqn-20260724-200829,"{""perception"": ""rich_grid9"", ""gamma"": 0.95}"
20:28:32,1,11,68.15,10007.7,dqn-20260724-201831,"{""perception"": ""rich_grid9"", ""gamma"": 0.99}"
20:38:35,1,11,70.15,10515.0,dqn-20260724-202833,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false}"
20:48:36,1,11,55.25,10600.0,dqn-20260724-203835,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 1}"
20:58:38,1,11,76.4,10479.8,dqn-20260724-204837,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 5}"
21:08:40,1,11,106.9,10108.9,dqn-20260724-205839,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10}"
21:18:42,1,11,111.4,10010.3,dqn-20260724-210841,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500}"
21:28:47,1,11,113.15,10075.0,dqn-20260724-211846,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000}"
21:38:49,1,11,109.2,10100.5,dqn-20260724-212848,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""pfad_fokus"": 0.25}"
21:48:51,1,11,104.7,10094.6,dqn-20260724-213850,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""pfad_fokus"": 0.5}"
21:58:52,1,11,105.35,9951.0,dqn-20260724-214852,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""pfad_fokus"": 0.7}"
22:08:54,1,11,104.5,10475.8,dqn-20260724-215853,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""pfad_fokus"": 1.0}"
22:18:56,1,11,110.25,10334.9,dqn-20260724-220855,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""eps_decay_steps"": 40000}"
22:28:58,1,11,90.95,9854.0,dqn-20260724-221857,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""eps_decay_steps"": 150000}"
22:38:59,1,11,87.95,10327.7,dqn-20260724-222859,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""curriculum_anteil"": 0.0}"
22:49:01,1,11,105.7,9938.3,dqn-20260724-223900,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""curriculum_anteil"": 0.5}"
22:59:03,1,11,120.65,9161.9,dqn-20260724-224902,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""curriculum_anteil"": 1.0}"
23:09:04,1,11,108.95,9153.3,dqn-20260724-225904,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""curriculum_anteil"": 1.0, ""balance_anteil"": 0.0}"
23:19:06,1,11,118.6,9203.3,dqn-20260724-230905,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""curriculum_anteil"": 1.0, ""balance_anteil"": 0.5}"
23:29:08,1,11,116.8,11135.7,dqn-20260724-231907,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""curriculum_anteil"": 1.0, ""batch_size"": 128}"
23:39:10,1,11,120.85,7550.6,dqn-20260724-232909,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""curriculum_anteil"": 1.0, ""batch_size"": 512}"
23:49:11,1,11,115.9,9123.9,dqn-20260724-233911,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""curriculum_anteil"": 1.0, ""eps_end"": 0.05}"
